ville,latitude,longitude,pays,iso2,région
Mehdya,342.597,-66.500,Maroc,MA,Rabat-Salé-Kénitra
Aïn Taoujdat,339.333,-52.167,Maroc,MA,Fès-Meknès
Chichaoua,315.333,-87.667,Maroc,MA,Marrakech-Safi
Tahla,340.500,-44.200,Maroc,MA,Fès-Meknès
Oulad Yaïch,324.167,-63.333,Maroc,MA,Béni Mellal-Khénifra
Moulay Bousselham,348.786,-62.933,Maroc,MA,Rabat-Salé-Kénitra
Iheddadene,351.500,-29.667,Maroc,MA,Oriental
Missour,330.500,-39.833,Maroc,MA,Fès-Meknès
Zawyat ech Cheïkh,326.414,-59.206,Maroc,MA,Béni Mellal-Khénifra
Bouknadel,341.333,-67.333,Maroc,MA,Rabat-Salé-Kénitra
Oulad Tayeb,339.598,-49.954,Maroc,MA,Fès-Meknès
Oulad Barhil,306.408,-84.750,Maroc,MA,Souss-Massa
Bir Jdid,333.737,-80.002,Maroc,MA,Casablanca-Settat
Tifariti,261.580,-105.670,Maroc,MA,Laâyoune-Sakia El Hamra
